account,sector,year_established,account_annual_revenue,employees,office_location,subsidiary_of,total_opportunities,won_opportunities,lost_opportunities,open_opportunities,revenue_won,avg_win_deal_value,win_rate,distinct_products_sold,first_engage_date,last_close_date,avg_sales_cycle_days
Ron-tech,medical,1992,3922.419922,6837,United States,Ron-tech,112,70,37,5,125481,1792,0.654205607,70,29-10-2016,31-12-2017,46
Gekko & Co,retail,1990,2520.830078,3502,United States,Gekko & Co,88,60,25,3,134731,2245,0.705882353,60,30-11-2016,31-12-2017,49
Bubba Gump,software,2002,987.3900146,2253,United States,Bubba Gump,59,36,18,5,89248,2479,0.666666667,36,24-11-2016,27-12-2017,55
J-Texon,retail,1989,1388.670044,3583,United States,J-Texon,77,50,23,4,102610,2052,0.684931507,50,30-10-2016,28-12-2017,45
Fasehatice,retail,1990,4968.910156,7523,United States,Fasehatice,85,49,32,4,127009,2592,0.604938272,49,07-11-2016,30-12-2017,49
Toughzap,retail,1995,332.4299927,799,United States,Toughzap,72,39,24,9,85902,2202,0.619047619,39,22-11-2016,28-12-2017,51
Xx-holding,finance,1993,7537.240234,20293,United States,Xx-holding,87,48,31,8,169357,3528,0.607594937,48,12-11-2016,18-12-2017,49
Opentech,finance,1994,355.230011,853,United States,Opentech,60,30,20,10,78669,2622,0.6,30,20-11-2016,27-12-2017,46
Funholding,finance,1991,2819.5,7227,United States,Golddex,109,59,40,10,127050,2153,0.595959596,59,19-11-2016,26-12-2017,56
Dalttechnology,software,2013,98.79000092,96,United States,Bubba Gump,72,43,18,11,77936,1812,0.704918033,43,22-11-2016,21-12-2017,43
Kinnamplus,retail,2004,702.7199707,1831,United States,Kinnamplus,73,40,22,11,95060,2376,0.64516129,40,23-11-2016,05-12-2017,37
Zoomit,entertainment,1992,324.1900024,978,United States,Zoomit,58,33,13,12,76684,2323,0.717391304,33,10-11-2016,28-12-2017,73
Acme Corporation,technology,1996,1100.040039,2822,United States,Acme Corporation,68,34,24,10,101744,2992,0.586206897,34,12-11-2016,27-12-2017,53
Blackzim,retail,2009,497.1099854,1588,United States,Blackzim,83,41,30,12,87715,2139,0.577464789,41,10-12-2016,30-12-2017,52
Sumace,retail,2000,167.8899994,493,Romania,Sumace,52,23,18,11,59905,2604,0.56097561,23,12-12-2016,25-12-2017,40
Faxquote,telecommunications,1995,1825.819946,5595,United States,Sonron,88,48,28,12,113557,2365,0.631578947,48,24-11-2016,27-12-2017,57
Genco Pura Olive Oil Company,retail,2007,894.3300171,1635,Italy,Genco Pura Olive Oil Company,94,54,33,7,114352,2117,0.620689655,54,04-11-2016,30-12-2017,45
Initech,telecommunications,1994,6395.049805,20275,United States,Initech,70,37,26,7,89792,2426,0.587301587,37,01-12-2016,24-12-2017,53
Nam-zim,services,1987,405.5899963,1179,Brazil,Warephase,61,32,20,9,63103,1971,0.615384615,32,21-11-2016,23-12-2017,53
Zotware,software,1979,4478.470215,13809,United States,Zotware,75,47,23,5,138339,2943,0.671428571,47,11-11-2016,30-12-2017,46
Rangreen,technology,1987,2938.669922,8775,Panama,Rangreen,109,75,25,9,151777,2023,0.75,75,20-11-2016,30-12-2017,59
Treequote,telecommunications,1988,5266.089844,8595,United States,Sonron,116,65,41,10,176751,2719,0.613207547,65,06-11-2016,30-12-2017,54
Vehement Capital Partners,finance,1993,646.0999756,883,United States,Golddex,66,34,23,9,111533,3280,0.596491228,34,07-11-2016,29-12-2017,52
Konex,technology,1980,7708.379883,13756,United States,Konex,178,108,63,7,269245,2493,0.631578947,108,24-11-2016,31-12-2017,48
Bioplex,medical,1991,326.8200073,1016,United States,Bioplex,53,31,15,7,67393,2173,0.673913043,31,22-11-2016,16-12-2017,43
Labdrill,medical,1985,2741.370117,9226,United States,Labdrill,81,46,25,10,140086,3045,0.647887324,46,11-11-2016,27-12-2017,61
Rantouch,telecommunications,1994,1188.420044,3015,United States,Rantouch,69,38,27,4,84754,2230,0.584615385,38,07-11-2016,22-12-2017,49
Plexzap,retail,2001,2437.850098,4874,United States,Plexzap,82,47,27,8,144976,3084,0.635135135,47,16-11-2016,24-12-2017,55
Condax,medical,2017,4.539999962,9,United States,Condax,170,105,54,11,206410,1965,0.660377358,105,27-11-2016,28-12-2017,58
Inity,marketing,1986,2403.580078,8801,United States,Inity,113,68,32,13,141858,2086,0.68,68,10-12-2016,30-12-2017,47
Umbrella Corporation,finance,1998,2022.140015,5113,United States,Umbrella Corporation,84,48,29,7,152701,3181,0.623376623,48,24-11-2016,28-12-2017,49
Hatfan,services,1982,792.460022,1299,United States,Hatfan,87,43,33,11,117942,2742,0.565789474,43,25-10-2016,30-12-2017,51
The New York Inquirer,medical,1996,439.2099915,792,United States,The New York Inquirer,52,28,16,8,76636,2737,0.636363636,28,12-11-2016,27-12-2017,42
Streethex,retail,1988,1376.800049,1165,Belgium,Streethex,109,63,41,5,117463,1864,0.605769231,63,01-01-2017,30-12-2017,59
Betatech,medical,1986,647.1799927,1185,Kenya,Betatech,92,53,33,6,107408,2026,0.61627907,53,09-12-2016,29-12-2017,42
Golddex,finance,2008,52.5,165,United States,Golddex,64,33,25,6,51632,1564,0.568965517,33,16-11-2016,29-12-2017,61
